Company,Bike_Name,Price,Milage (in KMPL),Engine (in cc),Fuel Type
33,268,100000.0,67.0,124.8,1
33,266,104000.0,54.33,124.8,1
33,260,126000.0,47.0,159.7,1
33,264,88498.0,50.0,109.7,1
33,275,161000.0,30.3,346.0,0
33,261,145000.0,45.0,164.9,1
33,269,169000.0,42.95,225.9,1
33,259,272000.0,33.1,312.2,1
33,274,58290.0,80.0,99.7,1
33,265,90405.0,57.27,124.8,1
33,263,147000.0,37.0,197.75,1
33,272,70223.0,70.0,109.7,1
33,267,78834.0,73.68,109.7,1
33,262,132000.0,45.0,177.4,1
33,273,79970.0,83.09,109.7,1
33,270,68414.0,50.0,87.8,1
33,271,74713.0,48.0,109.7,1
3,61,149000.0,40.36,199.0,1
3,63,172000.0,35.0,199.5,1
3,53,93638.0,51.46,124.4,1
3,59,106000.0,64.75,124.45,1
3,57,131000.0,59.11,164.82,1
3,54,120000.0,47.5,149.5,1
3,55,137000.0,30.3,346.0,0
3,50,230000.0,27.0,373.3,1
3,60,137000.0,40.6,160.0,1
3,52,74061.0,70.0,115.45,1
3,48,143000.0,30.3,346.0,0
3,49,184000.0,35.03,248.77,1
3,46,69216.0,70.0,115.45,1
3,58,150000.0,35.0,249.07,1
3,56,150000.0,35.0,249.07,1
3,47,77216.0,59.6,124.4,1
3,62,120000.0,49.7,149.68,1
3,51,67808.0,70.0,102.0,1
3,44,143000.0,40.0,220.0,1
3,45,117000.0,47.2,160.0,1
3,43,142000.0,30.3,346.0,0
30,242,175000.0,36.2,349.34,1
30,239,225000.0,41.55,349.34,1
30,238,169000.0,38.0,346.0,1
30,240,345000.0,30.3,346.0,0
30,241,228000.0,32.04,411.0,1
30,244,226000.0,41.88,349.0,1
30,243,331000.0,30.3,346.0,0
30,246,385000.0,25.0,648.0,1
30,245,212000.0,38.23,411.0,1
37,301,169000.0,56.87,155.0,1
37,303,164000.0,40.0,155.0,1
37,302,195000.0,55.2,155.0,1
37,299,129000.0,46.0,149.0,1
37,294,144000.0,48.62,155.0,1
37,304,94330.0,71.33,125.0,1
37,296,116000.0,49.3,149.0,1
