,Company,Bike_Name,Price,Milage (in KMPL),Engine (in cc),Fuel Type
0,TVS,TVS Raider,100000.0,67.0,124.8,Petrol
1,TVS,TVS NTORQ 125,104000.0,54.33,124.8,Petrol
2,TVS,TVS Apache RTR 160,126000.0,47.0,159.7,Petrol
3,TVS,TVS Jupiter,88498.0,50.0,109.7,Petrol
4,TVS,TVS iQube Electric,161000.0,-,-,Electric
5,TVS,TVS Apache RTR 160 4V,145000.0,45.0,164.9,Petrol
6,TVS,TVS Ronin,169000.0,42.95,225.9,Petrol
7,TVS,TVS Apache RR 310,272000.0,33.1,312.2,Petrol
8,TVS,TVS XL100,58290.0,80.0,99.7,Petrol
9,TVS,TVS Jupiter 125,90405.0,57.27,124.8,Petrol
10,TVS,TVS Apache RTR 200 4V,147000.0,37.0,197.75,Petrol
11,TVS,TVS Sport,70223.0,70.0,109.7,Petrol
12,TVS,TVS Radeon,78834.0,73.68,109.7,Petrol
13,TVS,TVS Apache RTR 180,132000.0,45.0,177.4,Petrol
14,TVS,TVS Star City Plus,79970.0,83.09,109.7,Petrol
15,TVS,TVS Scooty Pep Plus,68414.0,50.0,87.8,Petrol
16,TVS,TVS Scooty Zest,74713.0,48.0,109.7,Petrol
17,Bajaj,Bajaj Pulsar NS200,149000.0,40.36,199.0,Petrol
18,Bajaj,Bajaj Pulsar RS200,172000.0,35.0,199.5,Petrol
19,Bajaj,Bajaj Pulsar 125,93638.0,51.46,124.4,Petrol
20,Bajaj,Bajaj Pulsar NS 125,106000.0,64.75,124.45,Petrol
21,Bajaj,Bajaj Pulsar N160,131000.0,59.11,164.82,Petrol
22,Bajaj,Bajaj Pulsar 150,120000.0,47.5,149.5,Petrol
23,Bajaj,Bajaj Pulsar 220 F,137000.0,-,-,Electric
24,Bajaj,Bajaj Dominar 400,229999.99999999997,27.0,373.3,Petrol
25,Bajaj,Bajaj Pulsar NS160,137000.0,40.6,160.0,Petrol
26,Bajaj,Bajaj Platina 110,74061.0,70.0,115.45,Petrol
27,Bajaj,Bajaj Chetak,143000.0,-,-,Electric
28,Bajaj,Bajaj Dominar 250,184000.0,35.03,248.77,Petrol
29,Bajaj,Bajaj CT 110X,69216.0,70.0,115.45,Petrol
30,Bajaj,Bajaj Pulsar N250,150000.0,35.0,249.07,Petrol
